variable,data_cell,na_pa_total,hispanic,var_pairs,race_ethnicity
X132,101,na,1,50,hispanic_other_subcategory 
X133,102,total,1,51,hispanic_other_subcategory 
X134,106,pa,1,52,hispanic_other_subcategory 
X135,107,na,1,53,hispanic_other_subcategory 
X136,108,total,1,54,hispanic_other_subcategory 
X137,112,pa,1,55,hispanic_other_subcategory 
X138,113,na,1,56,hispanic_other_subcategory 
X139,114,total,1,57,hispanic_other_subcategory 
X140,118,pa,1,58,hispanic_white
X141,119,na,1,59,hispanic_white
X142,120,total,1,60,hispanic_white
X143,124,pa,1,61,hispanic_two_or_more_races
X144,125,na,1,62,hispanic_two_or_more_races
X145,126,total,1,63,hispanic_two_or_more_races
X146,130,pa,1,64,hispanic_two_or_more_races
X147,131,na,1,65,hispanic_two_or_more_races
X148,132,total,1,66,hispanic_two_or_more_races
X149,136,pa,1,67,hispanic_two_or_more_races
X150,137,na,1,68,hispanic_two_or_more_races
X151,138,total,1,69,hispanic_two_or_more_races
X152,142,pa,1,70,hispanic_two_or_more_races
X153,143,na,1,71,hispanic_two_or_more_races
X154,144,total,1,72,hispanic_two_or_more_races
X155,148,pa,1,73,hispanic_other
X156,149,na,1,74,hispanic_other
X157,150,total,1,75,hispanic_other
X158,154,pa,1,76,hispanic_other
X159,155,na,1,77,hispanic_other
X160,156,total,1,78,hispanic_other
X161,160,pa,1,79,total
X162,161,na,1,80,total
X163,162,total,1,81,total
